date,lower,upper
20/03/2020,0,0
27/03/2020,0,0
03/04/2020,0,0
10/04/2020,0,0
17/04/2020,0,0
24/04/2020,0,0
01/05/2020,0,0
08/05/2020,0,0
15/05/2020,0,0
22/05/2020,0,0
29/05/2020,0.7,0.9
05/06/2020,0.7,0.9
12/06/2020,0.7,0.9
19/06/2020,0.7,0.9
26/06/2020,0.7,0.9
03/07/2020,0.7,0.9
10/07/2020,0.7,0.9
17/07/2020,0.7,0.9
24/07/2020,0.7,0.9
31/07/2020,0.8,0.9
07/08/2020,0.8,1.0
14/08/2020,0.8,1.0
21/08/2020,0.9,1.1
28/08/2020,0.9,1.1
04/09/2020,0.9,1.1
11/09/2020,1.0,1.2
18/09/2020,1.1,1.4
25/09/2020,1.2,1.5
02/10/2020,1.3,1.6
09/10/2020,1.2,1.5
16/10/2020,1.3,1.5
23/10/2020,1.2,1.4
30/10/2020,1.1,1.3
06/11/2020,1.1,1.3
13/11/2020,1.0,1.2
20/11/2020,1.0,1.1
27/11/2020,0.9,1.0
04/12/2020,0.8,1.0
11/12/2020,0.9,1.0
18/12/2020,1.1,1.2
25/12/2020,1.1,1.3
01/01/2021,1.0,1.4
08/01/2021,1.2,1.3
15/01/2021,0.8,1.0
22/01/2021,0.7,1.1
29/01/2021,0.7,1.0
05/02/2021,0.7,0.9
12/02/2021,0.6,0.9
19/02/2021,0.6,0.9
26/02/2021,0.7,0.9
05/03/2021,0.6,0.8
12/03/2021,0.6,0.9
19/03/2021,0, 0
