date,country,areaCode,newCasesByPublishDate,cumCasesByPublishDate,newDeathsByDeathDate,cumDeathsByDeathDate
2021-03-25,England,E92000001,5286,3778510,52,140904
2021-03-24,England,E92000001,4615,3773224,77,140852
2021-03-23,England,E92000001,4583,3768609,123,140775
2021-03-22,England,E92000001,4746,3764026,150,140652
2021-03-21,England,E92000001,4459,3759280,143,140502
2021-03-20,England,E92000001,4732,3754821,143,140359
2021-03-19,England,E92000001,3809,3750089,168,140216
2021-03-18,England,E92000001,5213,3746280,192,140048
2021-03-17,England,E92000001,4827,3741067,209,139856
2021-03-16,England,E92000001,4391,3736240,246,139647
2021-03-15,England,E92000001,4264,3731849,279,139401
2021-03-14,England,E92000001,3774,3727585,226,139122
2021-03-13,England,E92000001,4539,3723811,261,138896
2021-03-12,England,E92000001,5529,3719272,257,138635
2021-03-11,England,E92000001,5744,3713743,322,138378
2021-03-10,England,E92000001,4863,3707999,299,138056
2021-03-09,England,E92000001,4894,3703136,310,137757
2021-03-08,England,E92000001,3903,3698242,344,137447
2021-03-07,England,E92000001,4497,3694339,327,137103
2021-03-06,England,E92000001,5118,3689842,312,136776
2021-03-05,England,E92000001,5053,3684724,337,136464
2021-03-04,England,E92000001,5643,3679671,357,136127
2021-03-03,England,E92000001,5408,3674028,330,135770
2021-03-02,England,E92000001,5530,3668620,366,135440
2021-03-01,England,E92000001,4738,3663090,420,135074
2021-02-28,England,E92000001,5080,3658352,396,134654
2021-02-27,England,E92000001,6527,3653272,400,134258
2021-02-26,England,E92000001,7393,3646745,406,133858
2021-02-25,England,E92000001,8623,3639352,471,133452
2021-02-24,England,E92000001,8644,3630729,466,132981
2021-02-23,England,E92000001,7292,3622085,501,132515
2021-02-22,England,E92000001,9420,3614793,485,132014
2021-02-21,England,E92000001,8408,3605373,501,131529
2021-02-20,England,E92000001,8964,3596965,536,131028
2021-02-19,England,E92000001,10296,3588001,562,130492
2021-02-18,England,E92000001,10740,3577705,609,129930
2021-02-17,England,E92000001,10926,3566965,604,129321
2021-02-16,England,E92000001,9236,3556039,675,128717
2021-02-15,England,E92000001,8609,3546803,714,128042
2021-02-14,England,E92000001,9499,3538194,670,127328
2021-02-13,England,E92000001,11697,3528695,653,126658
2021-02-12,England,E92000001,13299,3516998,673,126005
2021-02-11,England,E92000001,12001,3503699,734,125332
2021-02-10,England,E92000001,11551,3491698,765,124598
2021-02-09,England,E92000001,10916,3480147,773,123833
2021-02-08,England,E92000001,12270,3469231,833,123060
2021-02-07,England,E92000001,14466,3456961,804,122227
2021-02-06,England,E92000001,16302,3442495,790,121423
2021-02-05,England,E92000001,17314,3426193,887,120633
2021-02-04,England,E92000001,18529,3408879,857,119746
2021-02-03,England,E92000001,17265,3390350,988,118889
2021-02-02,England,E92000001,15021,3373085,953,117901
2021-02-01,England,E92000001,16815,3358064,995,116948
2021-01-31,England,E92000001,19054,3341249,989,115953
2021-01-30,England,E92000001,21089,3322195,1006,114964
2021-01-29,England,E92000001,26709,3301106,1118,113958
2021-01-28,England,E92000001,26182,3274397,1211,112840
2021-01-27,England,E92000001,22914,3248215,1204,111629
2021-01-26,England,E92000001,17920,3225301,1144,110425
2021-01-25,England,E92000001,20149,3207381,1252,109281
2021-01-24,England,E92000001,27580,3187232,1191,108029
2021-01-23,England,E92000001,30496,3159652,1236,106838
2021-01-22,England,E92000001,37115,3129156,1284,105602
2021-01-21,England,E92000001,34371,3092041,1290,104318
2021-01-20,England,E92000001,35061,3057670,1351,103028
2021-01-19,England,E92000001,30371,3022609,1444,101677
2021-01-18,England,E92000001,34134,2992238,1338,100233
2021-01-17,England,E92000001,35263,2958104,1320,98895
2021-01-16,England,E92000001,37759,2922841,1322,97575
2021-01-15,England,E92000001,50741,2885082,1245,96253
2021-01-14,England,E92000001,44358,2834341,1219,95008
2021-01-13,England,E92000001,42898,2789983,1244,93789
2021-01-12,England,E92000001,41121,2747085,1238,92545
2021-01-11,England,E92000001,41835,2705964,1151,91307
2021-01-10,England,E92000001,50291,2664129,1127,90156
2021-01-09,England,E92000001,54257,2613838,1062,89029
2021-01-08,England,E92000001,61757,2559581,1031,87967
2021-01-07,England,E92000001,46841,2497824,1029,86936
2021-01-06,England,E92000001,56060,2450983,972,85907
2021-01-05,England,E92000001,54940,2394923,944,84935
2021-01-04,England,E92000001,53180,2339983,899,83991
2021-01-03,England,E92000001,46853,2286803,767,83092
2021-01-02,England,E92000001,49248,2239950,787,82325
2021-01-01,England,E92000001,50746,2190702,764,81538
2020-12-31,England,E92000001,49510,2139956,774,80774
2020-12-30,England,E92000001,43554,2090446,746,80000
2020-12-29,England,E92000001,47164,2046892,701,79254
2020-12-28,England,E92000001,36511,1999728,707,78553
2020-12-27,England,E92000001,25619,1963217,694,77846
2020-12-26,England,E92000001,31307,1937598,689,77152
2020-12-25,England,E92000001,31560,1906291,642,76463
2020-12-24,England,E92000001,35561,1874731,598,75821
2020-12-23,England,E92000001,34247,1839170,614,75223
2020-12-22,England,E92000001,32288,1804923,619,74609
2020-12-21,England,E92000001,28742,1772635,642,73990
2020-12-20,England,E92000001,32155,1743893,537,73348
2020-12-19,England,E92000001,22775,1711738,522,72811
2020-12-18,England,E92000001,24452,1688963,553,72289
2020-12-17,England,E92000001,22401,1664511,558,71736
2020-12-16,England,E92000001,23432,1642110,456,71178
2020-12-15,England,E92000001,16504,1618678,483,70722
2020-12-14,England,E92000001,17882,1602174,515,70239
2020-12-13,England,E92000001,17164,1584292,464,69724
2020-12-12,England,E92000001,17468,1567128,483,69260
2020-12-11,England,E92000001,17899,1549660,501,68777
2020-12-10,England,E92000001,17622,1531761,479,68276
2020-12-09,England,E92000001,12960,1514139,460,67797
2020-12-08,England,E92000001,10459,1501179,471,67337
2020-12-07,England,E92000001,11623,1490720,458,66866
2020-12-06,England,E92000001,14294,1479097,437,66408
2020-12-05,England,E92000001,12666,1464803,430,65971
2020-12-04,England,E92000001,13412,1452137,491,65541
2020-12-03,England,E92000001,11992,1438725,499,65050
2020-12-02,England,E92000001,13323,1426733,426,64551
2020-12-01,England,E92000001,11618,1413410,437,64125
2020-11-30,England,E92000001,10869,1401792,460,63688
2020-11-29,England,E92000001,10054,1390923,471,63228
2020-11-28,England,E92000001,13323,1380869,462,62757
2020-11-27,England,E92000001,13557,1367546,437,62295
2020-11-26,England,E92000001,14637,1355272,448,61858
2020-11-25,England,E92000001,15893,1340635,509,61410
2020-11-24,England,E92000001,9854,1324742,470,60901
2020-11-23,England,E92000001,13329,1314888,471,60431
2020-11-22,England,E92000001,16668,1301559,479,59960
2020-11-21,England,E92000001,17615,1284891,466,59481
2020-11-20,England,E92000001,17845,1267276,464,59015
2020-11-19,England,E92000001,20291,1249431,449,58551
2020-11-18,England,E92000001,17189,1229140,506,58102
2020-11-17,England,E92000001,17549,1211951,437,57596
2020-11-16,England,E92000001,19423,1194402,405,57159
2020-11-15,England,E92000001,21998,1174979,432,56754
2020-11-14,England,E92000001,24298,1152981,424,56322
2020-11-13,England,E92000001,24540,1128683,403,55898
2020-11-12,England,E92000001,30843,1104143,408,55495
2020-11-11,England,E92000001,19970,1073300,370,55087
2020-11-10,England,E92000001,18622,1053330,366,54717
2020-11-09,England,E92000001,19036,1034708,474,54351
2020-11-08,England,E92000001,18293,1015672,393,53877
2020-11-07,England,E92000001,21875,997379,393,53484
2020-11-06,England,E92000001,20268,975504,375,53091
2020-11-05,England,E92000001,21137,955236,368,52716
2020-11-04,England,E92000001,21863,934099,319,52348
2020-11-03,England,E92000001,17330,912236,341,52029
2020-11-02,England,E92000001,15860,894906,322,51688
2020-11-01,England,E92000001,20602,879046,323,51366
2020-10-31,England,E92000001,18864,858444,324,51043
2020-10-30,England,E92000001,20821,839580,330,50719
2020-10-29,England,E92000001,19740,818759,292,50389
2020-10-28,England,E92000001,21245,799019,273,50097
2020-10-27,England,E92000001,19629,777774,262,49824
2020-10-26,England,E92000001,17883,758145,259,49562
2020-10-25,England,E92000001,16487,740262,241,49303
2020-10-24,England,E92000001,19332,723775,224,49062
2020-10-23,England,E92000001,17116,704443,242,48838
2020-10-22,England,E92000001,17354,687327,235,48596
2020-10-21,England,E92000001,22948,669973,247,48361
2020-10-20,England,E92000001,17814,647025,225,48114
2020-10-19,England,E92000001,16365,629211,197,47889
2020-10-18,England,E92000001,14704,612846,150,47692
2020-10-17,England,E92000001,13299,598142,201,47542
2020-10-16,England,E92000001,12176,584843,163,47341
2020-10-15,England,E92000001,16139,572667,160,47178
2020-10-14,England,E92000001,16132,556528,139,47018
2020-10-13,England,E92000001,14310,540396,134,46879
2020-10-12,England,E92000001,11647,526086,131,46745
2020-10-11,England,E92000001,10383,514439,143,46614
2020-10-10,England,E92000001,12628,504056,122,46471
2020-10-09,England,E92000001,10772,491428,110,46349
