date,areaName,areaCode,newCasesByPublishDate,cumCasesByPublishDate,newDeathsByDeathDate,cumDeathsByDeathDate
25/03/2021,England,E92000001,5286,3778510,52,140904
24/03/2021,England,E92000001,4615,3773224,77,140852
23/03/2021,England,E92000001,4583,3768609,123,140775
22/03/2021,England,E92000001,4746,3764026,150,140652
21/03/2021,England,E92000001,4459,3759280,143,140502
20/03/2021,England,E92000001,4732,3754821,143,140359
19/03/2021,England,E92000001,3809,3750089,168,140216
18/03/2021,England,E92000001,5213,3746280,192,140048
17/03/2021,England,E92000001,4827,3741067,209,139856
16/03/2021,England,E92000001,4391,3736240,246,139647
15/03/2021,England,E92000001,4264,3731849,279,139401
14/03/2021,England,E92000001,3774,3727585,226,139122
13/03/2021,England,E92000001,4539,3723811,261,138896
12/03/2021,England,E92000001,5529,3719272,257,138635
11/03/2021,England,E92000001,5744,3713743,322,138378
10/03/2021,England,E92000001,4863,3707999,299,138056
09/03/2021,England,E92000001,4894,3703136,310,137757
08/03/2021,England,E92000001,3903,3698242,344,137447
07/03/2021,England,E92000001,4497,3694339,327,137103
06/03/2021,England,E92000001,5118,3689842,312,136776
05/03/2021,England,E92000001,5053,3684724,337,136464
04/03/2021,England,E92000001,5643,3679671,357,136127
03/03/2021,England,E92000001,5408,3674028,330,135770
02/03/2021,England,E92000001,5530,3668620,366,135440
01/03/2021,England,E92000001,4738,3663090,420,135074
28/02/2021,England,E92000001,5080,3658352,396,134654
27/02/2021,England,E92000001,6527,3653272,400,134258
26/02/2021,England,E92000001,7393,3646745,406,133858
25/02/2021,England,E92000001,8623,3639352,471,133452
24/02/2021,England,E92000001,8644,3630729,466,132981
23/02/2021,England,E92000001,7292,3622085,501,132515
22/02/2021,England,E92000001,9420,3614793,485,132014
21/02/2021,England,E92000001,8408,3605373,501,131529
20/02/2021,England,E92000001,8964,3596965,536,131028
19/02/2021,England,E92000001,10296,3588001,562,130492
18/02/2021,England,E92000001,10740,3577705,609,129930
