England,Scotland,Northern Ireland,Wales,date
1164,326,47,122,2020-03-20
1397,320,77,161,2020-03-21
1283,324,47,124,2020-03-22
1273,301,43,149,2020-03-23
1285,302,54,128,2020-03-24
1090,295,26,106,2020-03-25
1288,287,41,131,2020-03-26
1157,299,43,114,2020-03-27
1202,238,34,119,2020-03-28
1182,248,33,115,2020-03-29
1191,273,41,134,2020-03-30
1197,242,38,120,2020-03-31
1185,249,29,111,2020-04-01
889,221,33,81,2020-04-02
1058,235,30,112,2020-04-03
963,238,26,105,2020-04-04
877,260,40,97,2020-04-05
1354,233,25,115,2020-04-06
1011,243,41,110,2020-04-07
1088,252,24,114,2020-04-08
1018,232,34,81,2020-04-09
798,216,27,81,2020-04-10
1037,223,18,89,2020-04-11
1114,215,30,100,2020-04-12
878,201,19,98,2020-04-13
963,193,32,100,2020-04-14
956,210,18,90,2020-04-15
1086,237,30,102,2020-04-16
1041,217,19,97,2020-04-17
944,181,25,95,2020-04-18
733,188,21,77,2020-04-19
877,198,16,75,2020-04-20
885,173,20,86,2020-04-21
882,196,22,93,2020-04-22
871,191,34,89,2020-04-23
768,211,17,82,2020-04-24
829,195,18,71,2020-04-25
791,173,18,79,2020-04-26
887,192,22,80,2020-04-27
988,227,25,87,2020-04-28
927,199,23,78,2020-04-29
825,185,14,84,2020-04-30
865,174,15,73,2020-05-01
733,161,9,73,2020-05-02
721,142,7,71,2020-05-03
759,181,6,79,2020-05-04
640,180,21,66,2020-05-05
838,186,22,79,2020-05-06
853,198,19,79,2020-05-07
707,179,16,71,2020-05-08
777,184,14,68,2020-05-09
1062,269,27,100,2020-05-10
978,223,18,83,2020-05-11
686,189,15,66,2020-05-12
767,192,23,80,2020-05-13
785,181,23,72,2020-05-14
638,175,18,66,2020-05-15
711,171,21,80,2020-05-16
647,164,14,70,2020-05-17
763,185,16,76,2020-05-18
763,163,18,79,2020-05-19
745,162,24,72,2020-05-20
603,168,12,74,2020-05-21
647,166,24,79,2020-05-22
830,203,12,81,2020-05-23
782,189,15,78,2020-05-24
898,255,8,87,2020-05-25
746,164,31,76,2020-05-26
720,164,42,79,2020-05-27
775,171,42,69,2020-05-28
500,141,10,74,2020-05-29
630,131,13,72,2020-05-30
682,150,21,78,2020-05-31
631,143,13,62,2020-06-01
633,132,12,60,2020-06-02
724,162,14,63,2020-06-03
644,143,11,74,2020-06-04
602,125,14,70,2020-06-05
635,149,10,75,2020-06-06
496,124,11,69,2020-06-07
529,120,13,74,2020-06-08
529,93,15,64,2020-06-09
605,112,7,62,2020-06-10
596,90,10,66,2020-06-11
593,127,16,76,2020-06-12
414,99,8,65,2020-06-13
455,92,4,60,2020-06-14
545,92,14,68,2020-06-15
639,137,6,59,2020-06-16
592,106,9,63,2020-06-17
594,145,8,68,2020-06-18
566,145,15,73,2020-06-19
551,128,9,62,2020-06-20
413,88,9,65,2020-06-21
456,122,6,59,2020-06-22
617,154,8,75,2020-06-23
582,140,4,65,2020-06-24
500,132,10,73,2020-06-25
460,124,4,69,2020-06-26
525,83,7,63,2020-06-27
460,122,10,59,2020-06-28
505,141,7,64,2020-06-29
609,121,12,64,2020-06-30
583,139,8,72,2020-07-01
436,142,7,66,2020-07-02
498,133,5,62,2020-07-03
569,121,5,65,2020-07-04
527,138,8,64,2020-07-05
506,89,6,70,2020-07-06
622,124,13,63,2020-07-07
553,98,9,59,2020-07-08
529,110,8,56,2020-07-09
430,112,11,60,2020-07-10
426,94,8,65,2020-07-11
445,93,4,61,2020-07-12
494,103,8,58,2020-07-13
639,132,7,74,2020-07-14
514,135,8,59,2020-07-15
550,116,9,64,2020-07-16
553,89,11,62,2020-07-17
511,68,8,59,2020-07-18
402,92,3,66,2020-07-19
363,89,10,59,2020-07-20
488,84,13,58,2020-07-21
453,79,14,60,2020-07-22
463,118,9,61,2020-07-23
486,119,11,63,2020-07-24
356,78,2,64,2020-07-25
384,85,6,62,2020-07-26
460,96,11,66,2020-07-27
428,129,3,62,2020-07-28
498,104,12,69,2020-07-29
544,151,11,61,2020-07-30
551,95,11,64,2020-07-31
346,90,8,56,2020-08-01
455,94,12,56,2020-08-02
413,118,11,62,2020-08-03
434,113,12,60,2020-08-04
455,143,7,55,2020-08-05
427,122,8,55,2020-08-06
348,119,8,56,2020-08-07
431,95,7,70,2020-08-08
388,90,7,60,2020-08-09
370,105,9,63,2020-08-10
487,144,14,60,2020-08-11
510,122,10,69,2020-08-12
471,113,14,58,2020-08-13
352,102,5,63,2020-08-14
368,69,9,54,2020-08-15
378,82,5,53,2020-08-16
398,103,7,57,2020-08-17
378,77,13,60,2020-08-18
444,88,10,61,2020-08-19
398,113,11,55,2020-08-20
370,83,9,58,2020-08-21
392,58,2,60,2020-08-22
423,77,6,58,2020-08-23
397,92,1,60,2020-08-24
460,121,11,59,2020-08-25
391,105,4,57,2020-08-26
344,77,8,58,2020-08-27
418,89,5,56,2020-08-28
290,80,5,64,2020-08-29
392,75,5,57,2020-08-30
360,82,5,58,2020-08-31
375,124,7,59,2020-09-01
444,130,11,58,2020-09-02
438,108,6,65,2020-09-03
393,91,7,58,2020-09-04
352,89,5,69,2020-09-05
424,90,5,58,2020-09-06
515,107,5,67,2020-09-07
580,122,11,80,2020-09-08
737,112,13,80,2020-09-09
628,167,13,72,2020-09-10
573,168,10,68,2020-09-11
528,131,6,70,2020-09-12
420,110,7,57,2020-09-13
547,111,12,72,2020-09-14
586,130,12,69,2020-09-15
555,115,11,78,2020-09-16
639,140,8,74,2020-09-17
515,142,15,76,2020-09-18
587,126,13,73,2020-09-19
525,92,7,63,2020-09-20
740,141,7,72,2020-09-21
927,232,22,98,2020-09-22
722,153,12,70,2020-09-23
607,153,21,74,2020-09-24
619,133,11,67,2020-09-25
576,112,8,70,2020-09-26
516,110,5,76,2020-09-27
543,121,9,73,2020-09-28
605,115,16,73,2020-09-29
491,123,11,68,2020-09-30
592,167,8,74,2020-10-01
894,241,25,96,2020-10-02
648,138,19,74,2020-10-03
566,103,15,81,2020-10-04
728,156,18,83,2020-10-05
663,149,14,84,2020-10-06
682,223,17,76,2020-10-07
696,188,20,70,2020-10-08
483,167,13,71,2020-10-09
609,145,8,65,2020-10-10
549,135,5,63,2020-10-11
720,149,12,85,2020-10-12
659,138,17,76,2020-10-13
655,145,25,88,2020-10-14
684,97,9,83,2020-10-15
581,89,23,74,2020-10-16
474,123,10,62,2020-10-17
488,88,13,65,2020-10-18
539,105,15,64,2020-10-19
541,120,15,68,2020-10-20
615,117,22,62,2020-10-21
505,130,12,68,2020-10-22
396,158,14,75,2020-10-23
502,109,3,66,2020-10-24
481,118,11,67,2020-10-25
465,110,15,67,2020-10-26
566,109,16,61,2020-10-27
586,126,10,73,2020-10-28
571,137,11,79,2020-10-29
490,110,12,67,2020-10-30
893,142,13,92,2020-10-31
730,90,6,69,2020-11-01
635,125,11,63,2020-11-02
605,128,14,65,2020-11-03
503,117,10,68,2020-11-04
441,95,4,69,2020-11-05
506,63,9,65,2020-11-06
489,88,6,56,2020-11-07
478,62,6,64,2020-11-08
588,109,15,58,2020-11-09
538,119,12,57,2020-11-10
474,84,15,60,2020-11-11
679,146,16,60,2020-11-12
590,127,13,63,2020-11-13
511,81,9,63,2020-11-14
465,74,6,64,2020-11-15
581,108,11,62,2020-11-16
593,164,10,62,2020-11-17
597,123,13,58,2020-11-18
525,117,16,62,2020-11-19
437,99,8,62,2020-11-20
460,108,3,61,2020-11-21
471,95,7,59,2020-11-22
559,119,15,64,2020-11-23
530,101,7,67,2020-11-24
531,123,10,64,2020-11-25
506,105,6,62,2020-11-26
466,92,12,62,2020-11-27
425,76,15,58,2020-11-28
431,115,7,56,2020-11-29
558,90,52,70,2020-11-30
546,107,14,65,2020-12-01
597,142,20,60,2020-12-02
368,105,5,67,2020-12-03
434,98,9,60,2020-12-04
387,80,6,60,2020-12-05
445,88,8,54,2020-12-06
444,101,7,65,2020-12-07
586,139,12,76,2020-12-08
404,91,11,61,2020-12-09
475,120,9,57,2020-12-10
434,88,5,60,2020-12-11
446,65,8,61,2020-12-12
384,79,7,67,2020-12-13
552,126,10,70,2020-12-14
586,122,14,69,2020-12-15
580,112,9,85,2020-12-16
581,84,13,66,2020-12-17
452,100,14,62,2020-12-18
843,202,19,81,2020-12-19
737,183,14,79,2020-12-20
744,133,22,78,2020-12-21
608,118,24,64,2020-12-22
746,114,10,65,2020-12-23
544,92,9,69,2020-12-24
325,43,4,63,2020-12-25
354,64,6,62,2020-12-26
378,79,6,61,2020-12-27
497,74,9,57,2020-12-28
812,118,23,82,2020-12-29
974,162,18,91,2020-12-30
744,151,18,72,2020-12-31
546,111,11,59,2021-01-01
735,130,14,72,2021-01-02
867,144,23,83,2021-01-03
989,244,24,81,2021-01-04
788,169,22,73,2021-01-05
881,167,17,80,2021-01-06
538,112,9,67,2021-01-07
796,157,17,88,2021-01-08
716,117,12,65,2021-01-09
669,155,15,75,2021-01-10
745,192,16,70,2021-01-11
695,114,10,67,2021-01-12
727,155,11,73,2021-01-13
664,143,16,66,2021-01-14
544,118,4,67,2021-01-15
597,115,4,70,2021-01-16
559,95,8,63,2021-01-17
562,131,9,66,2021-01-18
627,143,7,68,2021-01-19
588,121,6,63,2021-01-20
640,114,6,58,2021-01-21
648,111,11,61,2021-01-22
556,116,16,64,2021-01-23
575,93,3,57,2021-01-24
545,127,16,65,2021-01-25
692,121,12,70,2021-01-26
586,164,13,73,2021-01-27
568,131,13,68,2021-01-28
517,98,12,64,2021-01-29
493,77,6,55,2021-01-30
534,99,8,66,2021-01-31
551,75,12,59,2021-02-01
611,131,18,68,2021-02-02
558,120,6,64,2021-02-03
487,94,5,59,2021-02-04
460,71,3,66,2021-02-05
360,74,4,63,2021-02-06
453,70,4,55,2021-02-07
381,81,5,61,2021-02-08
461,77,9,62,2021-02-09
533,91,9,59,2021-02-10
529,71,10,63,2021-02-11
501,95,7,68,2021-02-12
463,74,6,64,2021-02-13
447,74,6,58,2021-02-14
375,113,6,62,2021-02-15
464,113,4,64,2021-02-16
489,102,3,60,2021-02-17
468,96,11,54,2021-02-18
330,80,3,58,2021-02-19
425,73,2,63,2021-02-20
422,74,8,60,2021-02-21
560,103,1,58,2021-02-22
440,140,14,59,2021-02-23
461,98,10,60,2021-02-24
453,112,8,60,2021-02-25
324,101,4,54,2021-02-26
373,64,8,61,2021-02-27
400,88,5,66,2021-02-28
376,66,8,58,2021-03-01
382,92,10,58,2021-03-02
383,65,7,62,2021-03-03
387,49,8,61,2021-03-04
416,78,5,61,2021-03-05
403,90,3,68,2021-03-06
373,158,8,60,2021-03-07
349,99,3,55,2021-03-08
342,91,6,58,2021-03-09
362,84,4,56,2021-03-10
274,70,5,55,2021-03-11
321,90,10,60,2021-03-12
394,67,3,61,2021-03-13
412,74,5,57,2021-03-14
366,65,3,60,2021-03-15
391,97,7,63,2021-03-16
387,84,5,56,2021-03-17
350,76,7,62,2021-03-18
302,65,6,57,2021-03-19
465,68,8,58,2021-03-20
1336,309,19,107,2021-03-21
1695,454,33,164,2021-03-22
1836,494,30,189,2021-03-23
1675,431,44,159,2021-03-24
1994,455,30,161,2021-03-25
