index,top_ten_hashtags,date
0,"[('Covid_19', 362), ('coronavirus', 326), ('COVID19', 219), ('CoronaCrisis', 101), ('CoronaVirusUpdate', 44), ('covid19', 43), ('Coronavirus', 31), ('covid_19', 30), ('coronavirusuk', 24), ('Covid19', 24)]",2020-03-20
1,"[('Covid_19', 587), ('coronavirus', 248), ('COVID19', 192), ('CoronavirusPandemic', 80), ('WeStandWithItaly', 73), ('CoronaCrisisuk', 72), ('CoronaCrisis', 70), ('StayAtHome', 66), ('covid_19', 51), ('SocialDistancing', 50)]",2020-03-21
2,"[('COVID19', 420), ('coronavirus', 353), ('WeStandWithItaly', 138), ('COVIDー19', 119), ('StayAtHome', 71), ('covid19', 50), ('Covid_19', 48), ('StayHomeSaveLives', 45), ('SocialDistancing', 42), ('covid_19', 39)]",2020-03-22
3,"[('coronavirus', 363), ('COVID19', 352), ('StayAtHomeSaveLives', 116), ('COVIDー19', 116), ('covid19', 75), ('Coronavirus', 64), ('LockdownNow', 51), ('covid_19', 46), ('lockdown', 45), ('staysafe', 38)]",2020-03-23
4,"[('COVID19', 546), ('coronavirus', 232), ('CoronavirusLockdown', 57), ('lockdown', 53), ('Covid19', 51), ('covid_19', 50), ('covid19', 48), ('StayAtHomeSaveLives', 46), ('COVIDIDIOTS', 42), ('staysafe', 40)]",2020-03-24
5,"[('COVID19', 377), ('coronavirus', 265), ('covid19', 62), ('CoronavirusLockdown', 50), ('Covid19', 45), ('covid_19', 42), ('Coronavirus', 36), ('COVID2019', 36), ('staysafe', 33), ('Covid19Out', 29)]",2020-03-25
6,"[('coronavirus', 360), ('COVID19', 288), ('StayHomeSaveLives', 71), ('NHS', 71), ('covid19', 71), ('clapforourcarers', 68), ('COVID2019', 68), ('covid_19', 51), ('Covid19', 48), ('nhs', 46)]",2020-03-26
7,"[('COVID19', 392), ('coronavirus', 311), ('CoronaLockdown', 95), ('COVID2019', 46), ('IsolationLife', 40), ('covid19', 38), ('StayHomeSaveLives', 32), ('Coronavirus', 32), ('covid_19', 29), ('BorisJohnson', 26)]",2020-03-27
8,"[('COVID19', 436), ('coronavirus', 189), ('Covid_19', 114), ('StayAtHomeAndStaySafe', 77), ('CoronaLockdown', 49), ('StayHomeSaveLives', 45), ('lockdown', 38), ('covid_19', 36), ('CoronaUpdate', 35), ('Coronavirus', 29)]",2020-03-28
9,"[('Covid_19', 417), ('coronavirus', 236), ('COVID19', 221), ('StayAtHomeAndStaySafe', 99), ('CoronaUpdate', 50), ('lockdown', 45), ('covid19', 40), ('covid_19', 39), ('StayHomeSaveLives', 31), ('coronalockdownuk', 23)]",2020-03-29
10,"[('Covid_19', 321), ('COVID19', 281), ('coronavirus', 213), ('lockdown', 60), ('TheLockdown', 52), ('StayHomeSaveLives', 40), ('covid19', 38), ('Coronavirus', 36), ('Covid19', 29), ('covid_19', 27)]",2020-03-30
11,"[('COVID19', 548), ('coronavirus', 169), ('TheLockdown', 64), ('StayAtHome', 46), ('lockdown', 44), ('covid19', 38), ('Covid19', 28), ('NHS', 27), ('Coronavirus', 26), ('coronavirusuk', 20)]",2020-03-31
12,"[('coronavirus', 333), ('COVID19', 277), ('COVIDー19', 81), ('covid19', 54), ('lockdown', 37), ('Coronavirus', 32), ('StayHomeSaveLives', 26), ('Covid19', 25), ('covid', 20), ('StayAtHome', 19)]",2020-04-01
