Date,Headline,URL
2021-04-01,"UK coronavirus: Covid rates falling in England but rising in Northern Ireland, says ONS – as it happened",https://www.theguardian.com/politics/live/2021/apr/01/uk-covid-live-keir-starmer-boris-johnson-coronavirus-checks-pub-landlords-latest-updates
2021-03-31,"'British instinct' likely to oppose Covid passports, says Keir Starmer",https://www.theguardian.com/politics/2021/mar/31/british-instinct-likely-to-oppose-covid-passports-says-keir-starmer
2021-03-30,"UK Covid: deaths pass 150,000, ONS confirms; Novavax jab could get approval in weeks, says trial chief - as it happened",https://www.theguardian.com/politics/live/2021/mar/30/uk-covid-live-news-johnson-and-world-leaders-say-next-pandemic-is-matter-of-not-if-but-when
2021-03-29,Gove launches charm offensive over Covid passport scheme,https://www.theguardian.com/politics/2021/mar/29/gove-launches-charm-offensive-over-covid-passport-scheme
2021-03-29,UK Covid: Whitty warns against Easter hugs as Johnson says level of UK protection against third wave unclear - as it happened,https://www.theguardian.com/politics/live/2021/mar/29/uk-covid-live-news-england-lockdown-latest-updates-boris-johnson-coronavirus
2021-03-28,"Pub Covid checks would not be permanent, says Oliver Dowden",https://www.theguardian.com/politics/2021/mar/28/pub-covid-checks-not-permanent-oliver-dowden
2021-03-28,High court to rule on legality of Covid contracts for PM's 'chums',https://www.theguardian.com/politics/2021/mar/28/high-court-to-rule-on-legality-of-covid-contracts-for-pms-chums
2021-03-25,UK Covid: MPs vote to extend emergency powers for six months; NHS alert level in England to be cut to three – as it happened,https://www.theguardian.com/politics/live/2021/mar/25/uk-covid-coronavirus-live-news-updates-pubs-status
2021-03-24,UK Covid: Johnson confirms France may go on 'red list' for border controls - as it happened,https://www.theguardian.com/politics/live/2021/mar/24/uk-covid-live-news-updates-priti-patel-boris-johnson-vaccine-rollout
2021-03-24,Boris Johnson confirms France may go on ‘red list’ for Covid border controls,https://www.theguardian.com/world/2021/mar/24/france-should-be-added-to-uk-covid-travel-red-list-says-labour
2021-03-24,Keir Starmer pushes Boris Johnson for Covid public inquiry,https://www.theguardian.com/politics/2021/mar/24/keir-starmer-pushes-boris-johnson-for-covid-public-inquiry
2021-03-24,"Covid: 'greed' and capitalism behind vaccine success, Johnson tells MPs",https://www.theguardian.com/politics/2021/mar/23/greed-and-capitalism-behind-jab-success-boris-johnson-tells-mps
2021-03-23,Johnson marks year since first lockdown – knowing he acted far too late | John Crace,https://www.theguardian.com/politics/2021/mar/23/boris-johnson-admits-he-will-forever-be-haunted-by-englands-covid-death-toll
2021-03-23,UK Covid: Boris Johnson says country will be dealing with fallout for rest of his life - as it happened,https://www.theguardian.com/politics/live/2021/mar/23/sturgeon-set-for-criticism-from-holyrood-committee-after-being-cleared-by-independent-adviser-of-breaking-ministerial-code-politics-live
2021-03-23,Covid travel rules will include 'Stanley Johnson loophole' for second homes,https://www.theguardian.com/politics/2021/mar/23/covid-travel-rules-will-include-stanley-johnson-loophole-for-second-homes
2021-03-22,UK considers Covid traffic light system for international travel,https://www.theguardian.com/politics/2021/mar/22/uk-considers-covid-traffic-light-system-for-international-travel
2021-03-22,West Midlands mayoral race rests on post-Covid recovery ,https://www.theguardian.com/politics/2021/mar/22/west-midlands-post-covid-recovery-dominates-mayoral-election
2021-03-22,TUC says Covid vaccine efforts hindered by lack of paid time off for jab,https://www.theguardian.com/politics/2021/mar/22/tuc-says-covid-vaccine-efforts-hindered-by-lack-of-paid-time-off-for-jab
2021-03-21,"David Cameron texted Rishi Sunak to get Covid loans for Greensill, says report",https://www.theguardian.com/politics/2021/mar/21/david-cameron-texted-rishi-sunak-to-get-covid-loans-for-greensill-says-report
2021-03-20,Tory MPs warn Johnson not to extend Covid curbs,https://www.theguardian.com/politics/2021/mar/20/tory-mps-warn-johnson-not-to-extend-covid-curbs
2021-03-19,Boris Johnson receives Oxford/AstraZeneca Covid vaccine,https://www.theguardian.com/politics/2021/mar/19/boris-johnson-receives-first-dose-of-oxfordastrazenca-covid-vaccine
2021-03-19,"UK Covid live: new record for most jabs in a day as 660,276 doses administered nationwide – as it happened",https://www.theguardian.com/politics/live/2021/mar/19/uk-covid-live-news-coronavirus-boris-johnson-india-vaccine-latest-updates
2021-03-19,England considering Covid 'certificates' for larger events after lockdown,https://www.theguardian.com/world/2021/mar/19/england-considering-covid-certificates-for-larger-events-after-lockdown
2021-03-18,UK Covid: Boris Johnson says vaccine supply issues will not lead to change in roadmap out of lockdown – as it happened,https://www.theguardian.com/politics/live/2021/mar/18/uk-covid-coronavirus-live-news-updates-vaccine-supply
2021-03-18,Tory backbenchers urge faster lockdown easing ahead of Commons votes,https://www.theguardian.com/politics/2021/mar/18/tory-backbenchers-urge-faster-lockdown-easing-ahead-of-commons-votes
2021-03-17,UK Covid: Matt Hancock plays down NHS warning of 'major contraction' in vaccine supply – as it happened,https://www.theguardian.com/politics/live/2021/mar/17/uk-politics-live-dominic-raab-covid-coronavirus-dominic-cummings-latest-updates
2021-03-17,Dominic Cummings calls for 'very hard look' at handling of Covid crisis,https://www.theguardian.com/politics/2021/mar/17/dominic-cummings-doh-was-smoking-ruin-at-start-of-pandemic
2021-03-12,'No 10 was a plague pit': how Covid brought Westminster to its knees,https://www.theguardian.com/politics/2021/mar/12/no-10-plague-pit-how-covid-brought-westminster-to-its-knees
2021-03-11,Covid test kit supplier joked to Hancock on WhatsApp he had 'never heard of him',https://www.theguardian.com/world/2021/mar/11/covid-test-kit-supplier-joked-matt-hancock-whatsapp-never-heard-of-him-alex-bourne
2021-03-11,UK Covid: homeless in England to be prioritised for coronavirus vaccines – as it happened,https://www.theguardian.com/politics/live/2021/mar/11/uk-covid-live-news-coronavirus-starmer-labour-may-elections
2021-03-10,UK Covid: surge testing ordered in two south London boroughs after South African variant found – as it happened,https://www.theguardian.com/politics/live/2021/mar/10/uk-covid-live-news-coronavirus-test-and-trace-vaccine-pmqs-latest-updates
2021-03-09,Labour demands 100 Covid-related contracts be published,https://www.theguardian.com/politics/2021/mar/09/labour-demands-100-covid-related-contracts-be-published
2021-03-09,UK Covid news: Nicola Sturgeon eases some restrictions on outdoor mixing in Scotland – as it happened,https://www.theguardian.com/politics/live/2021/mar/09/uk-covid-live-news-coronavirus-nhs-staff-pay-rise-vaccine-latest-updates
2021-03-08,"65 coronavirus-related deaths and 4,712 cases are UK's lowest for five months",https://www.theguardian.com/politics/live/2021/mar/08/uk-covid-live-news-minister-defends-pupil-isolation-after-rapid-test-results-as-schools-return-in-england
2021-03-06,Laurence Fox joins London mayoral race on anti-lockdown ticket,https://www.theguardian.com/politics/2021/mar/06/laurence-fox-joins-london-mayoral-race-on-anti-lockdown-ticket
2021-03-05,UK Covid: Hancock defends nurses' 1% pay rise; mystery person with Brazil variant found in south London – as it happened,https://www.theguardian.com/politics/live/2021/mar/05/uk-covid-live-news-one-percent-pay-increase-offer-nhs-staff-sparks-fury
2021-03-04,Home Office housed asylum seekers in barracks despite knowing Covid risk,https://www.theguardian.com/politics/2021/mar/04/home-office-housed-asylum-seekers-in-barracks-despite-knowing-covid-risk
2021-03-03,Budget 2021: Sunak holds briefing after flagging tax rises to pay for Covid recovery - as it happened,https://www.theguardian.com/politics/live/2021/mar/03/budget-2021-rishi-sunak-fiscal-firepower-protect-jobs-covid-furlough
2021-03-02,The UK economy’s coronavirus crisis in five charts,https://www.theguardian.com/politics/2021/mar/02/the-uk-economys-coronavirus-crisis-in-five-charts
2021-03-01,"UK Covid: one dose of Pfizer or AstraZeneca vaccine reduces hospitalisation in over-80s by 80%, data shows – as it happened",https://www.theguardian.com/politics/live/2021/mar/01/uk-covid-live-news-coronavirus-brazil-variant-vaccine
2021-03-01,Watchdog criticises how UK government appointed Covid ‘tsars’  ,https://www.theguardian.com/politics/2021/mar/01/watchdog-criticises-how-uk-government-appointed-covid-tsars
2021-03-01,"UK Covid: one dose of Pfizer or AstraZeneca vaccine reduces hospitalisation in over-80s by 80%, data shows – as it happened",https://www.theguardian.com/politics/live/2021/mar/01/uk-covid-live-news-coronavirus-brazil-variant-vaccine
