England,Scotland,Northern Ireland,Wales,date
506,62,19,28,2020-03-20
581,64,18,34,2020-03-21
825,89,24,73,2020-03-22
1348,145,30,122,2020-03-23
1266,148,36,101,2020-03-24
1006,105,22,68,2020-03-25
901,91,22,61,2020-03-26
841,97,27,59,2020-03-27
915,98,26,47,2020-03-28
1059,105,28,71,2020-03-29
919,85,22,60,2020-03-30
900,93,23,51,2020-03-31
881,102,20,65,2020-04-01
861,85,21,59,2020-04-02
883,93,24,52,2020-04-03
1023,94,28,69,2020-04-04
1109,99,23,103,2020-04-05
867,93,24,55,2020-04-06
870,92,23,57,2020-04-07
1038,90,27,77,2020-04-08
1087,114,27,70,2020-04-09
1090,121,37,79,2020-04-10
1113,122,27,59,2020-04-11
984,96,21,58,2020-04-12
1064,111,27,62,2020-04-13
990,94,22,59,2020-04-14
990,99,31,70,2020-04-15
1193,129,28,71,2020-04-16
1159,112,26,64,2020-04-17
1052,130,25,83,2020-04-18
1082,112,24,76,2020-04-19
1057,93,30,66,2020-04-20
1020,92,21,62,2020-04-21
1049,91,25,71,2020-04-22
1054,116,25,53,2020-04-23
1059,109,23,71,2020-04-24
1114,109,25,69,2020-04-25
1110,87,30,65,2020-04-26
1091,103,25,66,2020-04-27
1029,91,28,66,2020-04-28
490,15,0,41,2020-04-29
502,19,0,41,2020-04-30
1095,103,26,83,2020-05-01
1063,108,30,74,2020-05-02
1042,98,21,66,2020-05-03
1038,106,31,57,2020-05-04
1088,123,28,74,2020-05-05
1159,118,27,72,2020-05-06
1287,142,34,93,2020-05-07
1123,120,24,85,2020-05-08
1172,114,24,73,2020-05-09
1277,150,33,99,2020-05-10
1046,133,27,92,2020-05-11
926,109,25,60,2020-05-12
916,116,26,67,2020-05-13
876,85,23,66,2020-05-14
943,122,30,81,2020-05-15
996,126,33,65,2020-05-16
847,109,28,54,2020-05-17
802,81,27,56,2020-05-18
800,100,26,54,2020-05-19
847,106,23,62,2020-05-20
833,102,22,58,2020-05-21
882,90,28,66,2020-05-22
1157,131,30,72,2020-05-23
1199,148,29,73,2020-05-24
1205,126,28,89,2020-05-25
951,101,22,63,2020-05-26
895,90,22,67,2020-05-27
968,99,30,67,2020-05-28
909,90,26,88,2020-05-29
916,90,24,75,2020-05-30
897,83,27,74,2020-05-31
827,95,22,64,2020-06-01
520,77,11,39,2020-06-02
676,65,22,41,2020-06-03
627,85,21,53,2020-06-04
696,77,20,54,2020-06-05
757,86,22,39,2020-06-06
689,77,26,43,2020-06-07
602,62,22,42,2020-06-08
580,68,23,47,2020-06-09
669,77,22,49,2020-06-10
641,69,22,63,2020-06-11
624,68,22,43,2020-06-12
608,71,22,58,2020-06-13
571,59,8,40,2020-06-14
607,58,15,54,2020-06-15
628,73,24,48,2020-06-16
612,72,18,39,2020-06-17
556,81,11,41,2020-06-18
602,61,27,51,2020-06-19
590,63,19,39,2020-06-20
517,59,8,38,2020-06-21
496,59,12,34,2020-06-22
673,62,15,45,2020-06-23
580,78,8,53,2020-06-24
607,63,24,40,2020-06-25
550,67,8,46,2020-06-26
531,58,13,38,2020-06-27
583,78,9,37,2020-06-28
917,102,19,73,2020-06-29
715,70,19,50,2020-06-30
658,58,19,42,2020-07-01
593,60,20,44,2020-07-02
647,71,15,36,2020-07-03
660,62,8,41,2020-07-04
568,52,16,40,2020-07-05
444,44,9,28,2020-07-06
436,52,13,36,2020-07-07
427,47,14,27,2020-07-08
505,53,11,36,2020-07-09
446,68,19,33,2020-07-10
434,64,10,29,2020-07-11
398,50,3,30,2020-07-12
441,49,10,25,2020-07-13
461,51,8,27,2020-07-14
415,56,12,20,2020-07-15
484,43,10,27,2020-07-16
497,54,8,33,2020-07-17
397,55,4,25,2020-07-18
351,44,5,23,2020-07-19
313,42,10,19,2020-07-20
352,46,5,20,2020-07-21
362,42,7,40,2020-07-22
300,42,7,15,2020-07-23
363,44,7,14,2020-07-24
362,52,5,31,2020-07-25
354,39,9,17,2020-07-26
327,42,8,24,2020-07-27
326,28,5,16,2020-07-28
306,41,9,19,2020-07-29
505,42,11,28,2020-07-30
638,58,12,31,2020-07-31
389,43,8,23,2020-08-01
376,35,9,16,2020-08-02
314,48,7,13,2020-08-03
316,36,7,10,2020-08-04
333,79,6,25,2020-08-05
281,55,11,30,2020-08-06
358,54,10,23,2020-08-07
290,41,5,16,2020-08-08
304,42,6,13,2020-08-09
275,40,9,13,2020-08-10
310,48,8,24,2020-08-11
350,44,9,19,2020-08-12
333,34,7,18,2020-08-13
345,42,10,12,2020-08-14
277,36,5,8,2020-08-15
229,26,9,21,2020-08-16
302,26,7,11,2020-08-17
277,50,9,20,2020-08-18
298,53,17,15,2020-08-19
283,41,13,17,2020-08-20
263,35,7,15,2020-08-21
277,31,8,30,2020-08-22
239,40,7,13,2020-08-23
216,37,9,9,2020-08-24
270,21,9,26,2020-08-25
252,32,6,9,2020-08-26
221,28,10,10,2020-08-27
486,48,18,24,2020-08-28
530,60,12,24,2020-08-29
400,52,6,18,2020-08-30
384,56,10,24,2020-08-31
358,104,8,19,2020-09-01
231,50,8,19,2020-09-02
233,36,11,14,2020-09-03
231,30,2,14,2020-09-04
237,32,3,22,2020-09-05
250,27,3,19,2020-09-06
274,22,5,47,2020-09-07
374,50,3,48,2020-09-08
438,38,8,41,2020-09-09
281,49,19,26,2020-09-10
314,35,7,30,2020-09-11
240,28,3,18,2020-09-12
248,42,8,15,2020-09-13
254,32,10,23,2020-09-14
231,37,4,13,2020-09-15
345,30,5,42,2020-09-16
428,39,13,46,2020-09-17
613,63,8,43,2020-09-18
404,50,3,21,2020-09-19
434,29,4,28,2020-09-20
592,66,14,69,2020-09-21
561,81,16,60,2020-09-22
336,57,7,38,2020-09-23
259,33,2,37,2020-09-24
337,32,3,53,2020-09-25
337,38,12,48,2020-09-26
274,30,4,58,2020-09-27
247,35,4,49,2020-09-28
232,26,6,61,2020-09-29
295,33,7,37,2020-09-30
250,39,6,38,2020-10-01
216,22,6,36,2020-10-02
212,25,5,27,2020-10-03
189,21,6,28,2020-10-04
229,35,9,27,2020-10-05
200,61,5,28,2020-10-06
275,65,10,27,2020-10-07
339,43,5,30,2020-10-08
278,31,6,29,2020-10-09
296,48,5,34,2020-10-10
369,35,10,26,2020-10-11
569,32,23,40,2020-10-12
472,30,19,37,2020-10-13
510,38,30,50,2020-10-14
480,30,17,57,2020-10-15
372,38,27,45,2020-10-16
