index,top_ten_hashtags,date
0,"[('lockdown', 61), ('coronavirus', 22), ('Covid_19', 19), ('CoronaCrisis', 14), ('COVID19', 12), ('Lockdown', 6), ('CoronaVirusUpdate', 6), ('Convid19uk', 5), ('lockdownuk', 5), ('SocialDistancing', 4)]",2020-03-20
1,"[('lockdown', 126), ('Covid_19', 47), ('StayAtHome', 27), ('CoronaCrisis', 25), ('coronavirus', 20), ('CoronavirusPandemic', 20), ('CoronaCrisisuk', 16), ('StayHomeSaveLives', 15), ('COVID19', 9), ('StaySafeStayHome', 9)]",2020-03-21
2,"[('lockdown', 125), ('COVIDー19', 53), ('coronavirus', 37), ('lockdownUKnow', 30), ('StayAtHome', 30), ('StayHomeSaveLives', 25), ('COVID19', 22), ('QuaratineLife', 18), ('CoronaVirus', 15), ('CoronaCrisisuk', 13)]",2020-03-22
3,"[('lockdown', 175), ('StayAtHomeSaveLives', 69), ('COVIDー19', 64), ('coronavirus', 56), ('LockdownNow', 40), ('Lockdown', 37), ('coronavirusuk', 29), ('COVID19', 25), ('UKlockdown', 22), ('COVIDIOTS', 22)]",2020-03-23
4,"[('lockdown', 235), ('COVID19', 50), ('coronavirus', 48), ('StayAtHomeSaveLives', 37), ('Lockdown', 35), ('LockdownNow', 21), ('lockdownuk', 21), ('staysafe', 21), ('CoronavirusLockdown', 20), ('stayhome', 18)]",2020-03-24
5,"[('lockdown', 188), ('coronavirus', 30), ('COVID19', 25), ('CoronavirusLockdownUK', 24), ('Lockdown', 23), ('StayHome', 22), ('CoronavirusLockdown', 22), ('COVID2019', 18), ('lockdownuk', 16), ('staysafe', 12)]",2020-03-25
6,"[('lockdown', 212), ('coronavirus', 36), ('COVID2019', 35), ('Lockdown', 30), ('StayHomeSaveLives', 18), ('COVID19', 16), ('StayHome', 12), ('covid19', 10), ('covid_19', 10), ('london', 9)]",2020-03-26
7,"[('lockdown', 159), ('CoronaLockdown', 33), ('coronavirus', 27), ('COVID19', 20), ('london', 16), ('COVID2019', 15), ('StayHomeSaveLives', 15), ('Lockdown', 15), ('covid_19', 12), ('StayHome', 10)]",2020-03-27
8,"[('lockdown', 233), ('COVID19', 32), ('StayAtHomeAndStaySafe', 30), ('Lockdown', 26), ('coronavirus', 23), ('CoronaLockdown', 14), ('Covid_19', 14), ('stayathome', 11), ('staysafe', 10), ('coronalockdownuk', 8)]",2020-03-28
9,"[('lockdown', 203), ('Covid_19', 45), ('COVID19', 38), ('StayAtHomeAndStaySafe', 29), ('coronavirus', 23), ('Lockdown', 21), ('lockdownuk', 14), ('covid_19', 12), ('CoronaLockdown', 9), ('StayHomeSaveLives', 9)]",2020-03-29
10,"[('lockdown', 230), ('Covid_19', 44), ('COVID19', 36), ('coronavirus', 35), ('Lockdown', 19), ('StayAtHome', 18), ('StayHome', 17), ('TheLockdown', 13), ('StaySafe', 11), ('StayHomeSaveLives', 11)]",2020-03-30
11,"[('lockdown', 200), ('COVID19', 53), ('coronavirus', 28), ('StayAtHome', 26), ('Lockdown', 23), ('TheLockdown', 15), ('StayHomeSaveLives', 13), ('stayhome', 12), ('staysafe', 11), ('CoronaVirus', 9)]",2020-03-31
12,"[('lockdown', 189), ('Lockdown', 30), ('coronavirus', 28), ('COVID19', 25), ('COVIDー19', 23), ('StayHomeSaveLives', 17), ('covid19', 13), ('StayHome', 12), ('stayhome', 11), ('coronavirusuk', 9)]",2020-04-01
13,"[('lockdown', 154), ('Lockdown', 42), ('coronavirus', 36), ('COVID19', 18), ('StayHomeSaveLives', 15), ('COVIDー19', 15), ('stayhome', 11), ('COVID19Pandemic', 11), ('stayathome', 7), ('StayHome', 6)]",2020-04-02
14,"[('lockdown', 182), ('coronavirus', 31), ('COVID19', 31), ('StayHomeSaveLives', 30), ('Lockdown', 27), ('COVID19Pandemic', 22), ('day8oflockdown', 8), ('covid19', 8), ('staysafe', 8), ('stayathome', 7)]",2020-04-03
15,"[('lockdown', 225), ('coronavirus', 33), ('StayHomeSaveLives', 33), ('COVID2019', 33), ('Lockdown', 26), ('COVID19', 19), ('covid19', 19), ('stayhome', 11), ('StayHome', 9), ('lockdownuk', 8)]",2020-04-04
16,"[('lockdown', 249), ('coronavirus', 41), ('StayHomeSaveLives', 32), ('COVID2019', 28), ('COVID19', 27), ('Lockdown', 22), ('StayAtHome', 21), ('stayhome', 17), ('Covid_19', 15), ('StayHome', 14)]",2020-04-05
17,"[('lockdown', 174), ('Covid_19', 27), ('Lockdown', 25), ('COVID19', 23), ('coronavirus', 15), ('StayHomeSaveLives', 13), ('lockdowneffect', 11), ('StayHome', 11), ('staysafe', 11), ('stayhome', 11)]",2020-04-06
18,"[('lockdown', 179), ('COVID19', 39), ('coronavirus', 24), ('Lockdown', 22), ('StayHomeSaveLives', 13), ('stayhome', 13), ('lockdowneffect', 12), ('COVID', 11), ('Scotland', 9), ('Glasgow', 9)]",2020-04-07
19,"[('lockdown', 201), ('COVID19', 36), ('coronavirus', 33), ('Lockdown', 23), ('StayHomeSaveLives', 18), ('StayHome', 13), ('lockdownextension', 13), ('stayhome', 12), ('COVIDー19', 11), ('covid19', 10)]",2020-04-08
20,"[('lockdown', 216), ('coronavirus', 31), ('Lockdown', 23), ('COVIDー19', 22), ('StayHomeSaveLives', 20), ('covid19', 17), ('StayHome', 16), ('COVID19', 15), ('NHS', 11), ('stayhome', 9)]",2020-04-09
