,date,county,sentiment,New County,viable,id
0,2020-03-20,Bedfordshire,0.75,Bedfordshire,1,0
5760,2020-05-19,Bedfordshire,0.9545454545454546,Bedfordshire,1,0
29088,2021-01-17,Bedfordshire,0.6153846153846154,Bedfordshire,1,0
5856,2020-05-20,Bedfordshire,0.631578947368421,Bedfordshire,1,0
28992,2021-01-16,Bedfordshire,0.6153846153846154,Bedfordshire,1,0
5952,2020-05-21,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
28896,2021-01-15,Bedfordshire,0.7692307692307693,Bedfordshire,1,0
6048,2020-05-22,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
28800,2021-01-14,Bedfordshire,0.5294117647058824,Bedfordshire,1,0
29184,2021-01-18,Bedfordshire,0.5,Bedfordshire,1,0
6144,2020-05-23,Bedfordshire,0.6,Bedfordshire,1,0
6240,2020-05-24,Bedfordshire,0.45,Bedfordshire,1,0
28608,2021-01-12,Bedfordshire,0.7368421052631579,Bedfordshire,1,0
6336,2020-05-25,Bedfordshire,0.6086956521739131,Bedfordshire,1,0
28512,2021-01-11,Bedfordshire,0.7083333333333334,Bedfordshire,1,0
6432,2020-05-26,Bedfordshire,0.9166666666666666,Bedfordshire,1,0
28416,2021-01-10,Bedfordshire,0.5263157894736842,Bedfordshire,1,0
6528,2020-05-27,Bedfordshire,0.41935483870967744,Bedfordshire,1,0
28320,2021-01-09,Bedfordshire,0.8333333333333334,Bedfordshire,1,0
28704,2021-01-13,Bedfordshire,0.7142857142857143,Bedfordshire,1,0
6624,2020-05-28,Bedfordshire,0.75,Bedfordshire,1,0
5664,2020-05-18,Bedfordshire,0.6153846153846154,Bedfordshire,1,0
5568,2020-05-17,Bedfordshire,0.6428571428571429,Bedfordshire,1,0
4704,2020-05-08,Bedfordshire,0.375,Bedfordshire,1,0
30144,2021-01-28,Bedfordshire,0.631578947368421,Bedfordshire,1,0
4800,2020-05-09,Bedfordshire,0.4166666666666667,Bedfordshire,1,0
30048,2021-01-27,Bedfordshire,0.7,Bedfordshire,1,0
4896,2020-05-10,Bedfordshire,0.7894736842105263,Bedfordshire,1,0
29952,2021-01-26,Bedfordshire,0.7,Bedfordshire,1,0
4992,2020-05-11,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
29856,2021-01-25,Bedfordshire,0.5,Bedfordshire,1,0
29280,2021-01-19,Bedfordshire,0.7647058823529411,Bedfordshire,1,0
5088,2020-05-12,Bedfordshire,0.7777777777777778,Bedfordshire,1,0
5184,2020-05-13,Bedfordshire,0.7142857142857143,Bedfordshire,1,0
29664,2021-01-23,Bedfordshire,0.18181818181818182,Bedfordshire,1,0
5280,2020-05-14,Bedfordshire,0.7083333333333334,Bedfordshire,1,0
29568,2021-01-22,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
5376,2020-05-15,Bedfordshire,0.7333333333333333,Bedfordshire,1,0
29472,2021-01-21,Bedfordshire,0.8888888888888888,Bedfordshire,1,0
5472,2020-05-16,Bedfordshire,0.7368421052631579,Bedfordshire,1,0
29376,2021-01-20,Bedfordshire,0.4,Bedfordshire,1,0
29760,2021-01-24,Bedfordshire,0.5555555555555556,Bedfordshire,1,0
28224,2021-01-08,Bedfordshire,0.3333333333333333,Bedfordshire,1,0
6720,2020-05-29,Bedfordshire,1.0,Bedfordshire,1,0
28128,2021-01-07,Bedfordshire,0.3076923076923077,Bedfordshire,1,0
26976,2020-12-26,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
7968,2020-06-11,Bedfordshire,0.7777777777777778,Bedfordshire,1,0
26880,2020-12-25,Bedfordshire,0.8,Bedfordshire,1,0
8064,2020-06-12,Bedfordshire,0.75,Bedfordshire,1,0
26784,2020-12-24,Bedfordshire,0.5789473684210527,Bedfordshire,1,0
8160,2020-06-13,Bedfordshire,1.0,Bedfordshire,1,0
26688,2020-12-23,Bedfordshire,0.6,Bedfordshire,1,0
8256,2020-06-14,Bedfordshire,0.8181818181818182,Bedfordshire,1,0
7872,2020-06-10,Bedfordshire,0.7857142857142857,Bedfordshire,1,0
26592,2020-12-22,Bedfordshire,0.9166666666666666,Bedfordshire,1,0
26496,2020-12-21,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
8448,2020-06-16,Bedfordshire,0.8333333333333334,Bedfordshire,1,0
26400,2020-12-20,Bedfordshire,0.4,Bedfordshire,1,0
8544,2020-06-17,Bedfordshire,0.8333333333333334,Bedfordshire,1,0
26304,2020-12-19,Bedfordshire,0.7619047619047619,Bedfordshire,1,0
8640,2020-06-18,Bedfordshire,0.875,Bedfordshire,1,0
26208,2020-12-18,Bedfordshire,0.9,Bedfordshire,1,0
8736,2020-06-19,Bedfordshire,0.6363636363636364,Bedfordshire,1,0
8352,2020-06-15,Bedfordshire,0.18181818181818182,Bedfordshire,1,0
27072,2020-12-27,Bedfordshire,0.0,Bedfordshire,1,0
7776,2020-06-09,Bedfordshire,0.8333333333333334,Bedfordshire,1,0
27168,2020-12-28,Bedfordshire,0.7,Bedfordshire,1,0
6816,2020-05-30,Bedfordshire,0.7222222222222222,Bedfordshire,1,0
28032,2021-01-06,Bedfordshire,0.6521739130434783,Bedfordshire,1,0
6912,2020-05-31,Bedfordshire,0.8181818181818182,Bedfordshire,1,0
27936,2021-01-05,Bedfordshire,0.6,Bedfordshire,1,0
7008,2020-06-01,Bedfordshire,0.5555555555555556,Bedfordshire,1,0
27840,2021-01-04,Bedfordshire,0.48,Bedfordshire,1,0
7104,2020-06-02,Bedfordshire,0.5833333333333334,Bedfordshire,1,0
27744,2021-01-03,Bedfordshire,0.696969696969697,Bedfordshire,1,0
7200,2020-06-03,Bedfordshire,0.875,Bedfordshire,1,0
27648,2021-01-02,Bedfordshire,0.4,Bedfordshire,1,0
